Gender,Birth and Death Dates,Name means,Popularity index,Area of expertise,Celebration or Feast Day,Role,Good/Evil Rating,Pantheon,Related Gods,Type,Alternative names,Associated with,url,Area or people,Pronunciation,Name,In charge of
"Sorry, we don't know",,,3055,"Many things, lots of stuff",Unknown at present,unspecified,Unknown at present,Mesoamerican pantheon,"{'Alphabet Gods', 'Palenque Triad'}",Deities,['unspecified'],,https://www.godchecker.com/mesoamerican-mythology/OLMEC-GODS/,Olmec,Coming soon,Olmec Gods,Many Things
Male,,,2608,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Irish pantheon,set(),God,"['Ai', 'Aí Mac Ollamon', 'Aoi', 'Aoi Mac Ollamain']",,https://www.godchecker.com/irish-mythology/AI-MAC-OLLAMAIN/,,Coming soon,Aí mac Ollamain,
Male,,,1862,Snakes,Unknown at present,🐍,"OKAY, not bad",Buddhist pantheon,"{'Nagas', 'Buddha'}",Spirit,"['Muchalinda', 'Muchilinda', 'Mucilinda']",,https://www.godchecker.com/buddhist-mythology/MUCALINDA/,,Coming soon,Mucalinda,Snakes
Male,???-385,,719,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,"{'Melania the Younger', 'Anthony the Abbot'}",Saint,['Pemwah'],,https://www.godchecker.com/christian-mythology/SAINT-PAMBO/,,Coming soon,Pambo,
Male,,,4518,Air,Unknown at present,unspecified,Unknown at present,Egyptian pantheon,"{'Geb', 'Tefnut', 'Atlas', 'Atum', 'Nut'}",God,['Su'],,https://www.godchecker.com/egyptian-mythology/SHU/,,Coming soon,Shu,the Air
Female,,,2270,,Unknown at present,Unknown at present,"NOT OKAY, be careful",Australian Aboriginal pantheon,set(),legendary women,['Marrallang Sisters'],,https://www.godchecker.com/australian-aboriginal-mythology/MAR-RALLANG/,,Coming soon,Mar'rallang,
Male,1840-1889,,731,,May 10th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Damien De Veuster'],,https://www.godchecker.com/christian-mythology/SAINT-DAMIEN-OF-MOLOKAI/,,Coming soon,Damien of Molokai,
Female,,,1976,"Discord, Strife, Disharmony",Unknown at present,unspecified,Unknown at present,Roman pantheon,{'Eris'},Goddess,['unspecified'],,https://www.godchecker.com/roman-mythology/DISCORDIA/,,Coming soon,Discordia,Strife
Female,,,2032,Fish,Unknown at present,🐟,Unknown at present,Inca pantheon,{'Viracocha'},Goddess,"['Urpi-Huachac', 'Urpihua-Chac', 'Urpihuachac', 'Urpiwachac']",,https://www.godchecker.com/inca-mythology/URPIHUA-CHAC/,,Coming soon,Urpay Huachac,Fish
Female,,,1898,,Unknown at present,Unknown at present,Unknown at present,Irish pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/irish-mythology/AINGE/,,Coming soon,Ainge,
Female,,,3126,War,Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Ares', 'Graeae', 'Bellona', 'Eris'}",Goddess,['unspecified'],,https://www.godchecker.com/greek-mythology/ENYO/,,Coming soon,Enyo,War
Male,,,5464,Light,Unknown at present,unspecified,"NEUTRAL, may not care",Greek pantheon,"{'Hemera', 'Erebus', 'Nyx', 'Aer'}",God,"['Aither', 'Ether']",,https://www.godchecker.com/greek-mythology/AETHER/,,Coming soon,Aether,Light
Female,,,1553,"Star, Stars",Unknown at present,unspecified,"NEUTRAL, may not care",Hindu pantheon,set(),Goddesses,['Naksatras'],,https://www.godchecker.com/hindu-mythology/NAKSHATRAS/,,Coming soon,Nakshatras,Stars
Male,315-386,,663,,March 18th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-CYRIL-OF-JERUSALEM/,,Coming soon,Cyril of Jerusalem,
Female,,,8391,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Greek pantheon,"{'Crius', 'Acheron', 'Hera', 'Thaumas', 'Tethys', 'Thea', 'Chaos', 'Uranus', 'Mnemosyne', 'Titanides', 'Hyperion', 'Cottus', 'Iapetus', 'Briareus', 'Phoebe', 'Coeus', 'Pontus', 'Titans', 'Python', 'Hecatonchires', 'Oceanus', 'Cronus', 'Rhea', 'Gyges', 'Themis', 'Cyclopes', 'Eurybia'}",Goddess,"['Ga', 'Gaea', 'Gaiea', 'Ge']",,https://www.godchecker.com/greek-mythology/GAIA/,,Coming soon,Gaia,
Male,,,1993,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Southeast Asian pantheon,set(),Demon,['unspecified'],,https://www.godchecker.com/southeast-asian-mythology/BAJANG/,Malay,Coming soon,Bajang,
Female,,,3729,"River, Rivers, Stream, Streams",Unknown at present,unspecified,"NEUTRAL, may not care",Greek pantheon,"{'Hydriads', 'Nymphs', 'Tethys', 'Oceanus'}",Spirits,"['Naiades', 'Naias']",,https://www.godchecker.com/greek-mythology/NAIADS/,,Coming soon,Naiads,Rivers
Male,,,1630,Destruction,Unknown at present,unspecified,"NEUTRAL, may not care",Buddhist pantheon,set(),God,"['Kiack', 'Kiak-Kiak', 'Kiakiack']",,https://www.godchecker.com/buddhist-mythology/KIACKIACK/,"Burma/Myanmar, Malay",Coming soon,Kiackiack,Destruction
Male,,,1815,,Unknown at present,Unknown at present,Unknown at present,Greek pantheon,"{'Theseus', 'Cretan Bull'}",fabulous creature,['unspecified'],,https://www.godchecker.com/greek-mythology/MINOTAUR/,,Coming soon,Minotaur,
Female,,,2565,Fertility,Unknown at present,unspecified,"OKAY, not bad",Irish pantheon,"{'Medb', 'Mórrígan'}",Goddess,['unspecified'],,https://www.godchecker.com/irish-mythology/MACHA/,,Coming soon,Macha,Fertility
Male,???-???,,793,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,"['Roman Of Kilmaronen', 'Rudan Of Kilmaronen']",,https://www.godchecker.com/christian-mythology/SAINT-RONAN-OF-KILMARONEN/,,Coming soon,Ronan of Kilmaronen,
Male,,,1949,,Unknown at present,Unknown at present,"OKAY, not bad",Australian Aboriginal pantheon,{'Bildjiwuaroju'},God,['Miralalou'],,https://www.godchecker.com/australian-aboriginal-mythology/MIRALALDU/,Wallamba tribe of Northeastern Australia,Coming soon,Miralaldu,
Female,,,1634,Good Fortune,Unknown at present,unspecified,"NEUTRAL, may not care",Hindu pantheon,"{'Lakshmi', 'Avatar', 'Krishna', 'Sisupala'}",Goddess,['unspecified'],,https://www.godchecker.com/hindu-mythology/RUKMINI/,,Coming soon,Rukmini,Good Luck
Male,,,2699,Creation,Unknown at present,unspecified,"NEUTRAL, may not care",African pantheon,set(),God,['unspecified'],,https://www.godchecker.com/african-mythology/ALOUROUA/,Baule tribe of the Ivory Coast,Coming soon,Alouroua,Creating
Male,480-524,,786,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,"['Anicius Manlius Severinus Boëthius', 'Boetius']",,https://www.godchecker.com/christian-mythology/SAINT-SEVERINUS-BOETHIUS/,,Coming soon,Severinus Boethus,
Female,1447-1510,,714,,September 15th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-CATHERINE-OF-GENOA/,,Coming soon,Catherine of Genoa,
Male,329-390,,674,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Gregory-Nazienzen'],,https://www.godchecker.com/christian-mythology/SAINT-GREGORY-OF-NAZIANZUS/,,Coming soon,Gregory of Nazianzus,
Female,,,1436,Hunger,Unknown at present,unspecified,Unknown at present,Roman pantheon,{'Fama'},Goddess,['unspecified'],,https://www.godchecker.com/roman-mythology/FAMES/,,Coming soon,Fames,Hunger
Male,,,3411,Earth,Unknown at present,unspecified,"NEUTRAL, may not care",Japanese pantheon,"{'Izanami', 'Izanagi', 'Susano-wo', 'Sukuna-Bikona'}",God,"['O-Kuni-Nushi', 'Onamuji']",,https://www.godchecker.com/japanese-mythology/OKUNINUSHI/,,Coming soon,Okuninushi,the Earth
Male and female,,,2387,"Sea, Seas, Ocean, Oceans",Unknown at present,unspecified,"NEUTRAL, may not care",Zapotec pantheon,{'Ndozin'},God/dess,['unspecified'],,https://www.godchecker.com/zapotec-mythology/NDAN/,Zapotec,Coming soon,Ndan,the Ocean
Male,,,3097,Water,Unknown at present,unspecified,Unknown at present,South American pantheon,set(),God,"['Guirivilo', 'Guruvilu', 'Ngurvilu', 'Nirivilo', 'Ñuruvilu']",,https://www.godchecker.com/south-american-mythology/NGURUVILU/,Mapuche (Araucanian) people of Chile,Coming soon,Nguruvilu,Water
Male,,,2082,Ceremony,Unknown at present,unspecified,"NEUTRAL, may not care",Greek pantheon,"{'Persephone', 'Demeter', 'Zeus', 'Dionysus'}",God,['unspecified'],,https://www.godchecker.com/greek-mythology/IACCHUS/,,Coming soon,Iacchus,Ceremonial Events
Male,,,1263,Wisdom,Unknown at present,unspecified,"NEUTRAL, may not care",Buddhist pantheon,set(),God,"['Guru-Rinpoche', 'Lopon-Rinpoche']",,https://www.godchecker.com/buddhist-mythology/PADMASAMBHAVA/,,Coming soon,Padmasambhava,Wisdom
Male,347-420,,617,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,"['Porphyrius Of Gaza', 'Porphyry']",,https://www.godchecker.com/christian-mythology/SAINT-PORPHYRIUS/,,Coming soon,Porphyrius,
Male,,,1191,Moon,Unknown at present,🌝,Unknown at present,South American pantheon,{'Page Abe'},God,['unspecified'],,https://www.godchecker.com/south-american-mythology/NYAMI-ABE/,Tucano (Tukano) people of the upper Amazon,Coming soon,Nyami Abe,the Moon
Female,,,2405,,Unknown at present,Unknown at present,Unknown at present,Inca pantheon,{'Inti'},legendary women,"['Accla', 'Acllacunas', 'Acyllyaconas']",,https://www.godchecker.com/inca-mythology/ACLLAS/,,Coming soon,Acllas,
Female,,,2247,Nature,Unknown at present,unspecified,"NEUTRAL, may not care",Roman pantheon,"{'Latinus', 'Faunus'}",Goddess,['Fatua'],,https://www.godchecker.com/roman-mythology/FAUNA/,,Coming soon,Fauna,Nature
Male,,,2474,Thunder,Unknown at present,unspecified,"NEUTRAL, may not care",Japanese pantheon,set(),God,"['Aji-Suki-Taka-Hiko-Ne', 'Ajishikitakahikone-No-Kami']",,https://www.godchecker.com/japanese-mythology/AJISUKITAKAHIKONE/,,Coming soon,Ajisukitakahikone,Thunder
Male,,,3171,Storms,Unknown at present,unspecified,Unknown at present,Mesopotamian pantheon,"{'ME', 'Tablet of Destinies'}",God,"['Elil', 'Ellil']",,https://www.godchecker.com/mesopotamian-mythology/ENLIL/,"Akkadia, Sumer, Babylon",Coming soon,Enlil,Storms
Female,1873-1897,,625,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['The Little Flower Of Jesus'],,https://www.godchecker.com/christian-mythology/SAINT-THERESE-OF-LISIEUX/,,Coming soon,Thérèse of Lisieux,
Female,893-968,,756,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['Matilda Of Ringelheim'],,https://www.godchecker.com/christian-mythology/SAINT-MATILDA-OF-SAXONY/,,Coming soon,Matilda of Saxony,
Male,,,3968,"Disease, Sickness, Illness",Unknown at present,unspecified,"NEUTRAL, may not care",Japanese pantheon,{'Kami'},God,['unspecified'],,https://www.godchecker.com/japanese-mythology/EKIBIOGAMI/,,Coming soon,Ekibiogami,Disease & Sickness
Male,,,1842,,Unknown at present,Unknown at present,Unknown at present,Greek pantheon,"{'Pallas', 'Pallas (2)', 'Pallas (5)', 'Pallas (4)', 'Evander'}",God,['unspecified'],,https://www.godchecker.com/greek-mythology/PALLAS-3/,,Coming soon,Pallas (3),
Male,,,1090,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Hindu pantheon,"{'Atri', 'Kratu', 'Marichi', 'Pulaha', 'Brahma', 'Pulastya', 'Angiras'}",Gods,['unspecified'],,https://www.godchecker.com/hindu-mythology/MANASA-PUTRAS/,,Coming soon,Mânasâ-putras,
Male,,,7529,Rain,Unknown at present,🌧️,"NEUTRAL, may not care",Aztec pantheon,"{'Chalchiuhtlicue', 'Huixtocihuatl'}",God,"['Nuhualpilli', 'Tlàloc']",,https://www.godchecker.com/aztec-mythology/TLALOC/,,Coming soon,Tlaloc,Rain
"Sorry, we don't know",,,3093,,Unknown at present,Unknown at present,Unknown at present,Greek pantheon,"{'Stymphalian Birds', 'Eurystheus', 'Heracles', 'Erymanthian Boar'}",legendary place,['Augian-Stables'],,https://www.godchecker.com/greek-mythology/AUGEAN-STABLES/,,Coming soon,Augean Stables,
Female,,,3444,Flowers,Unknown at present,unspecified,"NEUTRAL, may not care",Japanese pantheon,"{'Sengen-Sama', 'Hoori', 'Ninigi-no-Mikoto', 'Hoderi'}",Goddess,"['Kono-Hana-Hime', 'Kono-Hana-Sakuya-Hime-No-Kami', 'Konohana', 'Konohana-Sakuya-Hime', 'Kōnōhanasakura-Hime']",,https://www.godchecker.com/japanese-mythology/KONOHANASAKUYA-HIME/,,Coming soon,Konohanasakuya-Hime,Flowers
Male,,,4188,Hero,Unknown at present,unspecified,"NEUTRAL, may not care",Chinese pantheon,"{'Zhang Xian', 'Jade Emperor', 'Monkey'}",God,"['Er-Lang Shen', 'Erh-Lang', 'Li Erlang']",,https://www.godchecker.com/chinese-mythology/ERLANG-SHEN/,,Uh Larng,Erlang Shen,Heroics
Male,,,1219,"Supreme, Everything",Unknown at present,unspecified,"NEUTRAL, may not care",Indonesian pantheon,{'Pue Mpalaburu'},God,['unspecified'],,https://www.godchecker.com/indonesian-mythology/PUE-DI-SONGI/,"Toraja people, Sulawesi (formerly Celebes) in Indonesia",Coming soon,Pue Di Songi,Everything
Male,,,1612,Fertility,Unknown at present,unspecified,"NEUTRAL, may not care",Etruscan pantheon,{'Adonis'},God,['unspecified'],,https://www.godchecker.com/etruscan-mythology/ATUNIS/,,Coming soon,Atunis,Fertility
Male,,,1281,Hunting,Unknown at present,unspecified,"NEUTRAL, may not care",Melanesian pantheon,{'Demas'},Spirit,['unspecified'],,https://www.godchecker.com/melanesian-mythology/DIWA-ZIB/,Papua New Guinea,Coming soon,Diwa-Zib,Hunting
Female,,,1966,Healing,Unknown at present,unspecified,Unknown at present,Mesopotamian pantheon,set(),Goddess,"['Ningirama', 'Ningirim']",,https://www.godchecker.com/mesopotamian-mythology/NINGIRIMA/,Akkadia,Coming soon,Ningirima,Healing
Female,,,2778,Justice,Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Erinys', 'Uranus'}",Goddesses,"['Erinyes', 'Eumenides']",,https://www.godchecker.com/greek-mythology/FURIES/,,Coming soon,Furies,Justice
Male,,,2185,Protection,Unknown at present,unspecified,Unknown at present,Egyptian pantheon,{'Horus'},God,['unspecified'],,https://www.godchecker.com/egyptian-mythology/SHED/,,Coming soon,Shed,Protection
Male,,,1555,,Unknown at present,Unknown at present,Unknown at present,Irish pantheon,set(),God,['unspecified'],,https://www.godchecker.com/irish-mythology/ANLUAN/,,Coming soon,Anluan,
Male,,,1270,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Hindu pantheon,"{'Pandavas', 'Kunti', 'Dharma', 'Kauravas'}",legendary mortal,['unspecified'],,https://www.godchecker.com/hindu-mythology/YUDHISHTHIRA/,,Coming soon,Yudhishthira,
Female,,,2431,,Unknown at present,Unknown at present,Unknown at present,Finnish pantheon,{'Väinämöinen'},legendary mortal,['unspecified'],,https://www.godchecker.com/finnish-mythology/MARJATTA/,,Coming soon,Marjatta,
Female,,,1817,,Unknown at present,Unknown at present,Unknown at present,Irish pantheon,set(),Goddess,['Eimhear'],,https://www.godchecker.com/irish-mythology/EMER/,,Coming soon,Emer,
Male,,,3862,War,Unknown at present,unspecified,Unknown at present,Egyptian pantheon,"{'Hathor', 'Ra', 'Horus', 'Shu'}",God,"['Inher', 'Onuris']",,https://www.godchecker.com/egyptian-mythology/ANHUR/,,Coming soon,Anhur,War
Male,,,2037,,Unknown at present,Unknown at present,Unknown at present,Irish pantheon,set(),God,['Birog'],,https://www.godchecker.com/irish-mythology/BIROG/,,Coming soon,Biróg,
Male,,,4203,,Unknown at present,Unknown at present,Unknown at present,Egyptian pantheon,{'Ra'},Demon,"['Aapep', 'Apepi', 'Apophis']",,https://www.godchecker.com/egyptian-mythology/APEP/,,Coming soon,Apep,
Male,1359-1419,,651,,Unknown at present,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-VINCENT-FERRER/,,Coming soon,Vincent Ferrer,
Female,,,11323,Creation,Unknown at present,unspecified,"NEUTRAL, may not care",Chinese pantheon,"{'Da Yu', 'San Huang', 'Gonggong', 'Zhurong', 'Fuxi', 'Pan Gu'}",Goddess,"['Nu-Kua', 'Nu-Kwa', 'Nü-Wa', 'Nugua', 'Nuwa']",,https://www.godchecker.com/chinese-mythology/NU-GUA/,,Noo Goo-ar,Nu Gua,Creating
Male,1302-1373,,832,,February 4th,Unknown at present,Unknown at present,Christian pantheon,set(),Saint,['unspecified'],,https://www.godchecker.com/christian-mythology/SAINT-ANDREW-CORSINI/,,Coming soon,Andrew Corsini,
Male,,,3330,,Unknown at present,Unknown at present,Unknown at present,Inuit pantheon,{'Aningan'},Demon,['unspecified'],,https://www.godchecker.com/inuit-mythology/IRDLIRVIRISISSONG/,Inuit,Coming soon,Irdlirvirisissong,
Male,,,2288,Creation,Unknown at present,unspecified,"GOOD, quite approachable",African pantheon,{'Mebere'},God,['unspecified'],,https://www.godchecker.com/african-mythology/MBERE/,Bantu of the Congo,Coming soon,Mbere,Creating
Male,,,2583,Unknown,Unknown at present,unspecified,"NEUTRAL, may not care",Egyptian pantheon,{'Tefnut'},God,['unspecified'],,https://www.godchecker.com/egyptian-mythology/TEFEN/,,Coming soon,Tefen,Unknown
Female,,,3815,Mother,Unknown at present,unspecified,Unknown at present,Native American pantheon,"{'Quaoar', 'Weywot'}",Goddess,['unspecified'],,https://www.godchecker.com/native-american-mythology/CHEHOOIT/,Tongva/Gabrielino tribe of Southern California,Coming soon,Chehooit,Motherhood
Male,,,12283,War,Unknown at present,unspecified,"OKAY, not bad",Brittonic pantheon,{'Mars'},God,['Camulos'],,https://www.godchecker.com/brittonic-mythology/CAMULUS/,,Coming soon,Camulus,War
Female,,,2241,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Gaulish pantheon,set(),Goddess,"['Cathubodva', 'Catubodua']",,https://www.godchecker.com/gaulish-mythology/CATHUBODUA/,,Coming soon,Cathubodua,
Male,,,2582,West Wind,Unknown at present,unspecified,Unknown at present,Iroquois pantheon,set(),Spirit,['unspecified'],,https://www.godchecker.com/iroquois-mythology/DAJOJI/,Iroquois aka Haudenosaunee,Coming soon,Dajoji,the West Wind
"Sorry, we don't know",,,3316,,Unknown at present,Unknown at present,"GOOD, quite approachable",Australian Aboriginal pantheon,"{'Tjati', 'Dreamtime', 'Adno-artina', 'Lungkata'}",legendary place,['unspecified'],,https://www.godchecker.com/australian-aboriginal-mythology/ULURU/,,Coming soon,Uluru,
Female,,,6798,Cows,Unknown at present,🐄,"GOOD, quite approachable",Hindu pantheon,"{'Vasishtha', 'Kamadhenu'}",Goddess,['Nandhini'],,https://www.godchecker.com/hindu-mythology/NANDINI/,,Coming soon,Nandini,Cows
Male,,,1273,Failure,Unknown at present,unspecified,"NEUTRAL, may not care",Melanesian pantheon,{'To-Kabinana'},God,['unspecified'],,https://www.godchecker.com/melanesian-mythology/TO-KARVUVU/,"New Britain island, Melanesia",Coming soon,To-Karvuvu,Failure
Female,,,13958,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Greek pantheon,"{'Eros', 'Erebus', 'Gaia', 'Nyx'}",Goddess,['Khaos'],,https://www.godchecker.com/greek-mythology/CHAOS/,,Coming soon,Chaos,
Female,,,2538,Healing,Unknown at present,unspecified,"GOOD, quite approachable",Gaulish pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/gaulish-mythology/ICOVELLAUNA/,,Coming soon,Icovellauna,Healing
Male,,,3870,Fishing,Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Cronus', 'Tethys', 'Nereids'}",God,['unspecified'],,https://www.godchecker.com/greek-mythology/GLAUCUS/,,Coming soon,Glaucus,Fishing
Female,,,2531,Reincarnation,Unknown at present,unspecified,"GOOD, quite approachable",Australian Aboriginal pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/australian-aboriginal-mythology/ERATHIPA/,,Coming soon,Erathipa,Reincarnation
Male,,,3662,Justice,Unknown at present,unspecified,"GOOD, quite approachable",African pantheon,set(),God,['unspecified'],,https://www.godchecker.com/african-mythology/SAKARABRU/,Anyi (Agni) tribe of Guinea,Coming soon,Sakarabru,Justice
Female,,,2247,Mother,Unknown at present,unspecified,"NEUTRAL, may not care",Germanic pantheon,set(),Goddess,"['Kisboldogasszony', 'Nagyboldogasszony']",,https://www.godchecker.com/germanic-mythology/BOLDOGASSZONY/,Hungary,Coming soon,Boldogasszony,Motherhood
Female,,,3563,Insects,Unknown at present,unspecified,"GOOD, quite approachable",Aztec pantheon,set(),Goddess,['Malinalxochitl'],,https://www.godchecker.com/aztec-mythology/MALINALXOCHI/,,Coming soon,Malinalxochi,Insects
Male,,,2117,,Unknown at present,Unknown at present,"NEUTRAL, may not care",Welsh pantheon,set(),fabulous creature,['Twrch Tryth'],,https://www.godchecker.com/welsh-mythology/TWRCH-TRWYTH/,,Coming soon,Twrch Trwyth,
Female,,,2578,Earth,Unknown at present,unspecified,"NEUTRAL, may not care",Roman pantheon,"{'Gaia', 'Tellumo'}",Goddess,"['Tellus Mater', 'Terra Mater']",,https://www.godchecker.com/roman-mythology/TELLUS/,,Coming soon,Tellus,the Earth
Female,,,2637,Island - a particular island??,Unknown at present,unspecified,Unknown at present,Greek pantheon,"{'Aeacus', 'Asopus', 'Zeus'}",Spirit,['unspecified'],,https://www.godchecker.com/greek-mythology/AEGINA/,,Coming soon,Aegina,Islands
Female,,,2724,Mother,Unknown at present,unspecified,"NEUTRAL, may not care",Welsh pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/welsh-mythology/DON/,,Coming soon,Dôn,Motherhood
Male,,,2023,,Unknown at present,Unknown at present,Unknown at present,Buddhist pantheon,{'Lokapalas'},God,"['Four Heavenly Kings', 'Sì Dà Tiānwáng', 'Sidatianwang', 'Tiānwáng']",,https://www.godchecker.com/buddhist-mythology/SI-DA-TIAN-WANG/,,Coming soon,Si Da Tian Wang,
Male,,,8055,Hero,Unknown at present,unspecified,"OKAY, not bad",Yoruba pantheon,"{'Obatala', 'Olorun', 'Orishas', 'Odudua'}",God,"['Eleduwa', 'Odudu', 'Odùduwà', 'Oduwa']",,https://www.godchecker.com/yoruba-mythology/ODUDUWA/,Yoruba people of Nigeria and Benin,Coming soon,Oduduwa,Heroics
Female,,,1471,Creation,Unknown at present,unspecified,"OKAY, not bad",Hindu pantheon,set(),Goddess,['unspecified'],,https://www.godchecker.com/hindu-mythology/VIRAJ/,,Coming soon,Viraj,Creating
Male,,,1561,Crossroads,Unknown at present,unspecified,"NEUTRAL, may not care",Lithuanian pantheon,set(),God,"['Kelio Dievas', 'Kelių Dievas', 'Keliukis', 'Kielu Dziewos']",,https://www.godchecker.com/lithuanian-mythology/KIELIU-DIEVAS/,Lithuania,Coming soon,Keliu Dievas,Crossroads
Female,,,3430,Beauty,Unknown at present,unspecified,"NEUTRAL, may not care",Greek pantheon,"{'Hephaestus', 'Graces'}",Goddess,['Aglaea'],,https://www.godchecker.com/greek-mythology/AGLAIA/,,Coming soon,Aglaia,Beauty
